date,open,high,low,close,volume
2024-12-05 00:00:00+00:00,133.69,133.76,131.35,132.52,22742.107
2024-12-05 00:15:00+00:00,132.5,133.15,130.61,132.08,18660.223
2024-12-05 00:30:00+00:00,132.04,132.83,130.7,131.13,19487.596
2024-12-05 00:45:00+00:00,131.16,131.54,129.55,130.24,18196.991
2024-12-05 01:00:00+00:00,130.24,130.5,126.15,126.32,37479.604
2024-12-05 01:15:00+00:00,126.33,128.34,124.94,125.96,45984.116
2024-12-05 01:30:00+00:00,125.92,127.9,125.34,127.26,26282.341
2024-12-05 01:45:00+00:00,127.27,127.72,125.83,126.58,14378.862
2024-12-05 02:00:00+00:00,126.5,127.99,126.4,127.52,12784.137
2024-12-05 02:15:00+00:00,127.48,129.56,127.16,129.56,18546.932
2024-12-05 02:30:00+00:00,129.56,132.61,128.78,132.28,46368.849
2024-12-05 02:45:00+00:00,132.28,133.01,128.94,129.1,47972.892
2024-12-05 03:00:00+00:00,129.08,131.27,128.48,131.0,48629.552
2024-12-05 03:15:00+00:00,131.0,132.19,129.74,130.07,21321.644
2024-12-05 03:30:00+00:00,130.07,130.21,127.9,129.22,21100.676
2024-12-05 03:45:00+00:00,129.2,129.32,127.16,127.76,22254.171
2024-12-05 04:00:00+00:00,127.81,129.29,127.37,128.96,15845.008
2024-12-05 04:15:00+00:00,128.94,129.25,128.45,128.62,9113.896
2024-12-05 04:30:00+00:00,128.6,129.5,128.08,128.45,13863.332
2024-12-05 04:45:00+00:00,128.43,128.47,127.06,127.62,12224.1
2024-12-05 05:00:00+00:00,127.63,128.15,126.84,128.1,12608.168
2024-12-05 05:15:00+00:00,128.12,129.35,128.03,129.19,15989.375
2024-12-05 05:30:00+00:00,129.21,129.3,126.28,126.82,17172.461
2024-12-05 05:45:00+00:00,126.77,126.97,125.44,126.65,20550.975
2024-12-05 06:00:00+00:00,126.65,127.0,126.0,126.61,9541.185
2024-12-05 06:15:00+00:00,126.61,126.83,125.46,126.59,16398.209
2024-12-05 06:30:00+00:00,126.6,128.61,126.08,128.55,25643.879
2024-12-05 06:45:00+00:00,128.54,128.76,127.73,128.05,15967.753
2024-12-05 07:00:00+00:00,128.0,128.65,127.51,127.99,11366.701
2024-12-05 07:15:00+00:00,127.98,128.55,127.71,128.45,10356.012
2024-12-05 07:30:00+00:00,128.44,128.77,128.24,128.25,11118.219
2024-12-05 07:45:00+00:00,128.25,128.92,128.18,128.57,13164.052
2024-12-05 08:00:00+00:00,128.55,129.5,127.98,129.44,21207.143
2024-12-05 08:15:00+00:00,129.43,129.74,128.84,129.5,12728.694
2024-12-05 08:30:00+00:00,129.49,130.16,129.4,130.02,20129.709
2024-12-05 08:45:00+00:00,130.02,130.84,129.52,130.54,17146.596
2024-12-05 09:00:00+00:00,130.61,132.11,129.83,131.19,22336.261
2024-12-05 09:15:00+00:00,131.17,131.17,130.0,130.25,23988.656
2024-12-05 09:30:00+00:00,130.2,131.08,129.59,130.92,14640.786
2024-12-05 09:45:00+00:00,130.87,131.33,129.77,129.97,17199.272
2024-12-05 10:00:00+00:00,129.96,130.31,129.52,130.28,7832.492
2024-12-05 10:15:00+00:00,130.26,130.79,129.77,130.73,9612.139
2024-12-05 10:30:00+00:00,130.72,130.79,129.68,130.12,9095.111
2024-12-05 10:45:00+00:00,130.1,130.78,129.85,130.55,10708.51
2024-12-05 11:00:00+00:00,130.59,132.11,130.47,132.09,16910.776
2024-12-05 11:15:00+00:00,132.1,136.37,131.92,135.97,57413.38
2024-12-05 11:30:00+00:00,136.02,138.27,135.81,136.48,107456.045
2024-12-05 11:45:00+00:00,136.46,137.2,135.5,137.18,35714.978
2024-12-05 12:00:00+00:00,137.18,137.24,134.87,136.31,43375.713
2024-12-05 12:15:00+00:00,136.36,138.92,135.32,138.41,33317.045
2024-12-05 12:30:00+00:00,138.39,140.2,137.23,140.06,54781.739
2024-12-05 12:45:00+00:00,140.07,144.0,139.98,142.7,132184.06
2024-12-05 13:00:00+00:00,142.69,144.0,141.23,141.87,54874.817
2024-12-05 13:15:00+00:00,141.85,143.72,141.3,142.01,49190.11
2024-12-05 13:30:00+00:00,142.02,144.43,141.56,142.3,52296.495
2024-12-05 13:45:00+00:00,142.3,143.34,141.5,141.82,46437.754
2024-12-05 14:00:00+00:00,141.82,143.05,139.85,142.55,49747.22
2024-12-05 14:15:00+00:00,142.55,143.12,139.36,140.16,42621.432
2024-12-05 14:30:00+00:00,140.17,140.17,138.62,139.8,35301.43
2024-12-05 14:45:00+00:00,139.81,140.15,138.46,140.15,15147.392
2024-12-05 15:00:00+00:00,140.16,141.26,139.5,140.63,19304.634
2024-12-05 15:15:00+00:00,140.67,141.78,139.51,140.59,33234.626
2024-12-05 15:30:00+00:00,140.56,143.84,140.46,143.24,58021.946
2024-12-05 15:45:00+00:00,143.25,146.42,142.53,143.79,99407.661
2024-12-05 16:00:00+00:00,143.8,144.9,142.51,144.2,37734.502
2024-12-05 16:15:00+00:00,144.19,147.06,144.09,144.85,55116.638
2024-12-05 16:30:00+00:00,144.84,145.71,143.33,143.41,32880.297
2024-12-05 16:45:00+00:00,143.43,144.1,142.78,143.34,27832.158
2024-12-05 17:00:00+00:00,143.38,144.96,141.64,141.69,35012.117
2024-12-05 17:15:00+00:00,141.68,142.78,141.44,142.25,19612.844
2024-12-05 17:30:00+00:00,142.25,143.16,141.92,142.5,14911.557
2024-12-05 17:45:00+00:00,142.51,143.22,142.5,142.67,11818.079
2024-12-05 18:00:00+00:00,142.68,144.06,142.45,143.31,10978.388
2024-12-05 18:15:00+00:00,143.31,143.73,142.73,143.42,7668.529
2024-12-05 18:30:00+00:00,143.42,144.81,143.24,144.09,12385.344
2024-12-05 18:45:00+00:00,144.08,144.57,142.32,142.5,19082.567
2024-12-05 19:00:00+00:00,142.5,143.01,140.8,142.06,30224.607
2024-12-05 19:15:00+00:00,142.06,142.39,141.47,141.67,9071.872
2024-12-05 19:30:00+00:00,141.67,142.34,140.41,140.56,14040.509
2024-12-05 19:45:00+00:00,140.63,141.36,139.06,139.33,28906.384
2024-12-05 20:00:00+00:00,139.32,139.61,137.58,138.16,33307.656
2024-12-05 20:15:00+00:00,138.15,138.2,136.28,136.94,32718.49
2024-12-05 20:30:00+00:00,136.94,137.57,135.83,137.05,30979.996
2024-12-05 20:45:00+00:00,137.02,137.37,135.95,137.1,35244.05
2024-12-05 21:00:00+00:00,137.05,137.32,136.41,137.31,12017.175
2024-12-05 21:15:00+00:00,137.31,138.03,136.62,137.48,12960.723
2024-12-05 21:30:00+00:00,137.49,137.51,135.95,136.03,21674.633
2024-12-05 21:45:00+00:00,136.07,137.05,136.06,136.69,8710.511
2024-12-05 22:00:00+00:00,136.69,137.55,135.56,135.84,16467.025
2024-12-05 22:15:00+00:00,135.84,136.2,130.0,131.82,52803.984
2024-12-05 22:30:00+00:00,131.81,134.46,131.75,133.44,46785.236
2024-12-05 22:45:00+00:00,133.47,135.73,133.46,135.02,25627.14
2024-12-05 23:00:00+00:00,134.99,136.11,133.0,135.76,27108.864
2024-12-05 23:15:00+00:00,135.74,137.56,135.55,137.0,31077.095
2024-12-05 23:30:00+00:00,137.0,137.13,135.0,135.29,28114.764
2024-12-05 23:45:00+00:00,135.3,137.17,135.2,135.78,10364.711
2024-12-06 00:00:00+00:00,135.79,136.15,134.74,135.46,14167.239
2024-12-06 00:15:00+00:00,135.44,138.6,135.35,138.37,30039.167
2024-12-06 00:30:00+00:00,138.38,138.94,137.31,137.62,30969.013
2024-12-06 00:45:00+00:00,137.59,139.28,137.23,138.49,14392.508
2024-12-06 01:00:00+00:00,138.48,138.76,136.62,136.92,17600.059
2024-12-06 01:15:00+00:00,136.93,137.25,136.42,136.9,8665.268
2024-12-06 01:30:00+00:00,136.88,138.24,136.73,137.76,14396.639
2024-12-06 01:45:00+00:00,137.76,138.51,137.66,137.74,8296.96
2024-12-06 02:00:00+00:00,137.73,137.74,136.02,136.35,9180.381
2024-12-06 02:15:00+00:00,136.39,138.0,136.35,137.72,6676.398
2024-12-06 02:30:00+00:00,137.72,137.73,136.78,137.12,7543.598
2024-12-06 02:45:00+00:00,137.13,137.36,136.64,137.0,5027.599
2024-12-06 03:00:00+00:00,137.0,137.03,135.69,136.22,10167.107
2024-12-06 03:15:00+00:00,136.19,136.6,135.79,135.83,4731.415
2024-12-06 03:30:00+00:00,135.79,137.21,135.71,137.05,7774.713
2024-12-06 03:45:00+00:00,137.04,137.71,136.53,137.35,8828.404
2024-12-06 04:00:00+00:00,137.35,137.81,136.86,137.48,7127.817
2024-12-06 04:15:00+00:00,137.49,138.06,137.22,137.26,6295.307
2024-12-06 04:30:00+00:00,137.3,138.27,137.24,137.82,6238.177
2024-12-06 04:45:00+00:00,137.84,138.33,137.45,137.94,4635.885
2024-12-06 05:00:00+00:00,137.89,137.89,137.02,137.15,8998.569
2024-12-06 05:15:00+00:00,137.13,137.39,136.89,137.08,5139.288
2024-12-06 05:30:00+00:00,137.07,137.32,136.1,136.4,11644.837
2024-12-06 05:45:00+00:00,136.4,136.86,135.98,136.03,10387.851
2024-12-06 06:00:00+00:00,136.08,136.56,135.68,136.44,7429.718
2024-12-06 06:15:00+00:00,136.42,137.04,136.33,136.69,5923.571
2024-12-06 06:30:00+00:00,136.64,136.98,135.93,136.18,8367.16
2024-12-06 06:45:00+00:00,136.19,136.58,135.83,136.51,4559.236
2024-12-06 07:00:00+00:00,136.48,136.5,135.44,135.59,6692.405
2024-12-06 07:15:00+00:00,135.59,136.06,135.16,135.63,6180.544
2024-12-06 07:30:00+00:00,135.65,135.99,135.3,135.35,9532.679
2024-12-06 07:45:00+00:00,135.35,135.56,134.85,135.2,15767.76
2024-12-06 08:00:00+00:00,135.19,135.48,134.51,134.75,9691.432
2024-12-06 08:15:00+00:00,134.74,135.58,134.73,135.24,6863.332
2024-12-06 08:30:00+00:00,135.23,135.24,134.64,134.79,7927.287
2024-12-06 08:45:00+00:00,134.84,135.15,133.6,133.9,17627.644
2024-12-06 09:00:00+00:00,133.89,133.98,133.0,133.39,14348.057
2024-12-06 09:15:00+00:00,133.39,133.66,132.48,132.63,9641.642
2024-12-06 09:30:00+00:00,132.65,133.48,132.06,133.28,14396.591
2024-12-06 09:45:00+00:00,133.25,133.94,133.0,133.22,14510.535
2024-12-06 10:00:00+00:00,133.21,133.5,131.5,131.72,17640.222
2024-12-06 10:15:00+00:00,131.69,132.4,131.34,132.05,12076.083
2024-12-06 10:30:00+00:00,132.05,132.64,131.68,132.49,12724.391
2024-12-06 10:45:00+00:00,132.47,133.28,132.41,133.16,9794.844
2024-12-06 11:00:00+00:00,133.17,133.41,132.1,132.52,9979.692
2024-12-06 11:15:00+00:00,132.53,132.91,132.19,132.83,6750.807
2024-12-06 11:30:00+00:00,132.84,133.13,132.27,132.3,8388.7
2024-12-06 11:45:00+00:00,132.28,133.12,132.2,133.04,6760.517
2024-12-06 12:00:00+00:00,133.05,134.0,133.04,133.63,9323.187
2024-12-06 12:15:00+00:00,133.62,133.78,132.4,132.68,8316.766
2024-12-06 12:30:00+00:00,132.66,133.04,132.28,132.33,5858.09
2024-12-06 12:45:00+00:00,132.39,132.49,130.49,130.8,28470.467
2024-12-06 13:00:00+00:00,130.81,131.77,130.59,131.76,19815.27
2024-12-06 13:15:00+00:00,131.77,131.89,130.08,131.3,14989.481
2024-12-06 13:30:00+00:00,131.23,133.5,130.76,132.98,25085.626
2024-12-06 13:45:00+00:00,132.98,133.36,131.91,132.77,10496.568
2024-12-06 14:00:00+00:00,132.74,133.54,132.45,132.98,9942.574
2024-12-06 14:15:00+00:00,132.99,134.33,132.73,134.33,17834.383
2024-12-06 14:30:00+00:00,134.31,134.42,133.16,133.82,17627.355
2024-12-06 14:45:00+00:00,133.81,134.43,133.56,134.07,13044.688
2024-12-06 15:00:00+00:00,134.06,134.11,133.0,133.42,19693.452
2024-12-06 15:15:00+00:00,133.42,133.87,132.86,133.6,19860.511
2024-12-06 15:30:00+00:00,133.62,134.47,133.49,133.76,19611.921
